Speaker THD Value @80Hz,0.000096
End,0.000016
For,0.000117
Speaker THD Value @82.5Hz,0.000097
End,0.000017
For,0.000113
Speaker THD Value @85Hz,0.000095
End,0.000016
For,0.000114
Speaker THD Value @87.5Hz,0.000097
End,0.000016
For,0.000119
Speaker THD Value @90Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @92.5Hz,0.000096
End,0.000016
For,0.000116
Speaker THD Value @95Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @97.5Hz,0.000096
End,0.000016
For,0.000116
Speaker THD Value @100Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @103Hz,0.000096
End,0.000017
For,0.000115
Speaker THD Value @106Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @109Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @112Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @115Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @118Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @122Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @125Hz,0.000095
End,0.000016
For,0.000114
Speaker THD Value @128Hz,0.000095
End,0.000016
For,0.000115
Speaker THD Value @132Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @136Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @140Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @145Hz,0.000095
End,0.000016
For,0.000113
Speaker THD Value @150Hz,0.000095
End,0.000016
For,0.000113
Speaker THD Value @155Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @160Hz,0.000098
End,0.000016
For,0.000113
Speaker THD Value @165Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @170Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @175Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @180Hz,0.000096
End,0.000017
For,0.000114
Speaker THD Value @185Hz,0.000096
End,0.000017
For,0.000114
Speaker THD Value @190Hz,0.000097
End,0.000017
For,0.000116
Speaker THD Value @195Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @200Hz,0.000097
End,0.000017
For,0.000114
Speaker THD Value @206Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @212Hz,0.000102
End,0.000017
For,0.000114
Speaker THD Value @218Hz,0.000096
End,0.000017
For,0.000114
Speaker THD Value @224Hz,0.000096
End,0.000017
For,0.000113
Speaker THD Value @230Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @236Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @243Hz,0.000095
End,0.000016
For,0.000118
Speaker THD Value @250Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @258Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @265Hz,0.000095
End,0.000016
For,0.000113
Speaker THD Value @272Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @280Hz,0.000095
End,0.000016
For,0.000113
Speaker THD Value @290Hz,0.000095
End,0.000016
For,0.000113
Speaker THD Value @300Hz,0.000095
End,0.000016
For,0.000113
Speaker THD Value @307Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @315Hz,0.000095
End,0.000017
For,0.000114
Speaker THD Value @325Hz,0.000096
End,0.000017
For,0.000113
Speaker THD Value @335Hz,0.000095
End,0.000016
For,0.000113
Speaker THD Value @345Hz,0.000095
End,0.000016
For,0.000114
Speaker THD Value @355Hz,0.000097
End,0.000017
For,0.000114
Speaker THD Value @365Hz,0.000097
End,0.000016
For,0.000114
Speaker THD Value @375Hz,0.000096
End,0.000017
For,0.000114
Speaker THD Value @387Hz,0.000097
End,0.000016
For,0.000114
Speaker THD Value @400Hz,0.000097
End,0.000016
For,0.000115
Speaker THD Value @412Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @425Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @437Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @450Hz,0.000126
End,0.00002
For,0.000128
Speaker THD Value @462Hz,0.000119
End,0.000017
For,0.000118
Speaker THD Value @475Hz,0.000108
End,0.000017
For,0.000119
Speaker THD Value @487Hz,0.000102
End,0.000017
For,0.000114
Speaker THD Value @500Hz,0.000097
End,0.000016
For,0.000114
Speaker THD Value @515Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @530Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @545Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @560Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @580Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @600Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @615Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @630Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @650Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @670Hz,0.000096
End,0.000016
For,0.000113
Speaker THD Value @690Hz,0.000096
End,0.000016
For,0.000116
Speaker THD Value @710Hz,0.000097
End,0.000016
For,0.000113
Speaker THD Value @730Hz,0.000096
End,0.000016
For,0.000114
Speaker THD Value @750Hz,0.000096
End,0.000016
